Plot_ID,Type,Plot_Haglof,Plot_Radius,Tree_Nr,Tree_Spc,Strata,Tree_Dia,Tree_PosTex1,Tree_PosTex2,Tree_PosTex3,Tree_Local_x,Tree_Local_y,Tree_Local_Dist,Tree_Local_Angle,Tree_Angle_ToPlotCenter,Latitude,Longitude,,,,,,,,,
T4,Treatment,507,7.89,18,PIST,Sub,39,436,498,297,-1.49,3.78,4.06,338.49,0,45.5586981,-84.6954172,,,,,,,,,
T4,Treatment,507,7.89,19,PIST,Sub,52,381,479,287,-2.21,3.06,3.77,324.16,2,45.5586918,-84.6954266,,,,,,,,,
T4,Treatment,507,7.89,20,ACRU,Sub,63,254,367,184,-1.77,1.87,2.57,316.57,-2,45.558681,-84.6954214,,,,,,,,,
T4,Treatment,507,7.89,21,ACRU,Can,146,227,321,139,-1.37,1.61,2.11,319.6,4,45.5586785,-84.6954164,,,,,,,,,
T4,Treatment,507,7.89,22,QURU,Can,223,246,383,221,-2.21,1.45,2.65,303.33,-5,45.5586774,-84.6954272,,,,,,,,,
T4,Treatment,507,7.89,23,FAGR,Sub,52,424,609,480,-4.85,1.26,5.01,284.56,1,45.5586763,-84.6954611,,,,,,,,,
T4,Treatment,507,7.89,24,FAGR,Sub,49,328,517,402,-4.05,0.68,4.1,279.49,6,45.5586709,-84.695451,,,,,,,,,
T4,Treatment,507,7.89,25,FAGR,Can,86,371,565,461,-4.59,0.4,4.6,274.98,2,45.5586685,-84.695458,,,,,,,,,
T4,Treatment,507,7.89,26,PIST,Can,149,176,365,364,-2.47,-1.52,2.9,238.39,0,45.5586507,-84.6954316,,,,,,,,,
T4,Treatment,507,7.89,27,PIST,Sub,20,269,348,461,-1.19,-3.33,3.54,199.61,-4,45.5586341,-84.6954159,,,,,,,,,
T4,Treatment,507,7.89,28,FAGR,Can,93,220,143,315,0.78,-1.96,2.11,158.25,-9,45.5586459,-84.6953902,,,,,,,,,
T4,Treatment,507,7.89,29,PIST,Sub,17,444,471,622,-0.58,-5.07,5.1,186.51,-4,45.5586183,-84.6954087,,,,,,,,,
T4,Treatment,507,7.89,30,PIST,Sub,5,567,540,713,0.75,-5.96,6.01,172.83,-1,45.5586099,-84.6953921,,,,,,,,,
T4,Treatment,507,7.89,31,PIST,Sub,8,476,453,626,0.57,-5.12,5.15,173.65,0,45.5586175,-84.6953941,,,,,,,,,
T4,Treatment,507,7.89,32,ACRU,Can,128,476,443,621,0.86,-4.99,5.06,170.26,5,45.5586186,-84.6953903,,,,,,,,,
T4,Treatment,507,7.89,33,ACRU,Can,110,497,454,632,1.12,-5.1,5.22,167.66,5,45.5586176,-84.6953871,,,,,,,,,
T4,Treatment,507,7.89,34,PIST,Sub,49,446,292,492,2.91,-2.83,4.06,134.2,-4,45.5586375,-84.6953632,,,,,,,,,
T4,Treatment,507,7.89,35,PIST,Sub,18,559,380,571,4.21,-2.75,5.03,123.15,1,45.5586379,-84.6953466,,,,,,,,,
T4,Treatment,507,7.89,36,PIST,Sub,23,531,348,537,4.02,-2.43,4.7,121.15,0,45.5586408,-84.6953489,,,,,,,,,
T4,Treatment,507,7.89,37,PIST,Sub,31,607,420,600,4.82,-2.48,5.42,117.23,1,45.5586402,-84.6953387,,,,,,,,,
T4,Treatment,507,7.89,38,PIST,Sub,36,668,475,637,5.59,-1.98,5.93,109.5,-1,45.5586445,-84.6953286,,,,,,,,,
T4,Treatment,507,7.89,39,PIST,Sub,79,749,552,700,6.46,-1.58,6.65,103.74,1,45.5586479,-84.6953174,,,,,,,,,
T4,Treatment,507,7.89,40,ACRU,Sub,48,898,699,832,8.01,-1.23,8.1,98.73,2,45.5586506,-84.6952974,,,,,,,,,
T4,Treatment,507,7.89,41,ACRU,Sub,39,861,665,799,7.64,-1.29,7.75,99.56,8,45.5586502,-84.6953021,,,,,,,,,
T4,Treatment,507,7.89,42,PIST,Sub,76,810,611,737,7.14,-0.72,7.18,95.73,5,45.5586554,-84.6953083,,,,,,,,,
T4,Treatment,507,7.89,43,PIST,Sub,76,703,513,563,5.62,1.78,5.89,72.43,1,45.5586783,-84.6953269,,,,,,,,,
T4,Treatment,507,7.89,44,PIST,Sub,20,576,378,434,4.41,1.26,4.58,74.09,4,45.5586739,-84.6953426,,,,,,,,,
T4,Treatment,507,7.89,45,PIST,Sub,26,660,451,529,5.34,0.95,5.43,79.93,3,45.5586709,-84.6953307,,,,,,,,,
C3,Control,500,7.6,1,PIST,Sub,64,479,278,403,3.81,-0.21,3.81,93.15,-2,45.5586565,-84.6957308,,,,,,,,,
C3,Control,500,7.6,2,PIST,Sub,34,528,369,366,3.56,2.18,4.17,58.52,-3,45.5586781,-84.6957332,,,,,,,,,
C3,Control,500,7.6,3,PIST,Sub,58,745,606,556,4.58,4.39,6.34,46.21,-1,45.5586977,-84.6957193,,,,,,,,,
C3,Control,500,7.6,4,QURU,Can,209,536,417,342,2.61,3.29,4.19,38.43,-3,45.5586883,-84.6957449,,,,,,,,,
C3,Control,500,7.6,5,PIST,Sub,38,683,631,483,1.61,5.76,5.98,15.63,-6,45.5587108,-84.6957568,,,,,,,,,
C3,Control,500,7.6,6,PIST,Sub,44,501,548,342,-1.14,4.45,4.59,345.66,-4,45.5586997,-84.6957924,,,,,,,,,
C3,Control,500,7.6,7,PIST,Sub,29,614,685,483,-2.31,5.45,5.92,337.07,-3,45.5587091,-84.695807,,,,,,,,,
C3,Control,500,7.6,8,PIST,Sub,18,394,467,268,-1.64,3.35,3.73,333.98,-4,45.55869,-84.6957992,,,,,,,,,
C3,Control,500,7.6,9,PIST,Sub,46,257,307,108,-0.77,2.01,2.15,339.04,-4,45.5586776,-84.6957886,,,,,,,,,
C3,Control,500,7.6,10,PIST,Sub,46,225,326,148,-1.45,1.65,2.2,318.67,-6,45.5586746,-84.6957975,,,,,,,,,
